  Initial state =            1
  state      E      J    T       <i|f>     |<i|f>|^2 
   1    -78.34892  0.5  0.8    -0.00000     0.00000
   2    -78.18862  1.5  0.8     0.00000     0.00000
   3    -77.60622  2.5  0.8     0.59666     0.35601
   4    -77.49973  1.5  0.8    -0.00000     0.00000
   5    -76.96016  0.5  0.8     0.00000     0.00000
   6    -76.52698  2.5  0.8    -0.44273     0.19601
   7    -76.14252  3.5  0.8    -0.00001     0.00000
   8    -76.14191  2.5  0.8     0.07632     0.00582
   9    -75.40007  1.5  0.8     0.00000     0.00000
  10    -75.35611  3.5  0.8    -0.00000     0.00000
